,0,1,2,3,4,5,6,7,8,9,10
0,0.781,0.768,11.0,-5.991,1.0,0.0394,0.0119,4.91e-06,0.325,0.486,123.07
1,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
2,0.736,0.795,1.0,-3.299,0.0,0.0545,0.498,1.21e-06,0.254,0.511,104.066
3,0.775,0.573,11.0,-4.933,1.0,0.0585,0.495,0.0,0.126,0.667,101.925
4,0.63,0.928,9.0,-2.787,0.0,0.0331,0.199,0.124,0.148,0.465,123.963
5,0.893,0.745,11.0,-3.105,0.0,0.0571,0.0642,0.0,0.0943,0.872,101.018
6,0.829,0.819,2.0,-3.43,0.0,0.131,0.137,0.00792,0.282,0.35,123.944
7,0.772,0.849,3.0,-7.301,0.0,0.0478,0.0197,0.0324,0.0817,0.581,122.996
8,0.596,0.856,4.0,-3.556,0.0,0.0346,0.0211,0.0178,0.141,0.743,127.949
9,0.754,0.762,6.0,-4.486,0.0,0.0849,0.45,6.67e-05,0.224,0.673,92.002
10,0.819,0.913,4.0,-3.059,0.0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989
11,0.717,0.752,0.0,-6.933,1.0,0.065,0.251,0.000468,0.0802,0.14,123.97
12,0.738,0.868,11.0,-4.373,0.0,0.0731,0.0389,0.00171,0.388,0.336,122.003
13,0.734,0.766,1.0,-4.485,1.0,0.0383,0.025,0.00138,0.108,0.6,127.986
14,0.776,0.589,9.0,-4.543,0.0,0.115,0.319,0.0,0.0715,0.668,120.034
15,0.736,0.795,1.0,-3.299,0.0,0.0545,0.498,1.21e-06,0.254,0.511,104.066
16,0.707,0.924,7.0,-2.842,1.0,0.031,0.000972,0.00703,0.204,0.919,127.937
17,0.413,0.856,0.0,-4.078,0.0,0.0808,0.0289,0.00571,0.343,0.35,128.017
18,0.646,0.823,2.0,-4.123,0.0,0.0394,0.213,0.0,0.322,0.418,128.035
19,0.573,0.929,8.0,-3.942,0.0,0.109,0.197,0.000112,0.0567,0.582,127.934
20,0.753,0.76,6.0,-4.518,0.0,0.0859,0.446,3.13e-05,0.182,0.657,91.953
21,0.695,0.869,8.0,-5.066,1.0,0.0483,0.41,0.0,0.237,0.58,124.989
22,0.544,0.915,8.0,-3.405,1.0,0.0841,0.129,0.000914,0.115,0.51,126.094
