,0,1,2,3,4,5,6,7,8,9,10
0,0.508,0.72,11.0,-5.908,0.0,0.0628,0.272,0.0,0.0563,0.472,79.983
1,0.587,0.299,8.0,-7.365,1.0,0.0263,0.779,0.0,0.123,0.356,94.992
2,0.646,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.681,99.165
3,0.749,0.717,11.0,-6.358,0.0,0.0797,0.0227,0.0,0.263,0.4,104.967
4,0.652,0.748,0.0,-5.242,1.0,0.0887,0.0849,0.0,0.604,0.652,94.1
5,0.589,0.621,5.0,-6.902,0.0,0.0468,0.00969,0.00104,0.181,0.401,140.03
6,0.733,0.899,0.0,-4.237,1.0,0.143,0.00496,4.72e-05,0.372,0.76,127.086
7,0.447,0.694,7.0,-4.637,0.0,0.382,0.0293,5.46e-06,0.167,0.509,175.868
8,0.747,0.705,9.0,-5.137,0.0,0.126,0.0128,0.0,0.126,0.56,136.024
9,0.412,0.441,11.0,-11.523,0.0,0.291,0.0296,0.0726,0.306,0.174,185.571
10,0.483,0.439,9.0,-10.212,0.0,0.238,0.805,0.0,0.637,0.618,81.986
11,0.632,0.518,6.0,-6.126,1.0,0.0313,0.107,0.0,0.354,0.427,90.007
12,0.545,0.649,6.0,-4.062,1.0,0.0324,0.143,1.57e-05,0.0894,0.297,99.099
13,0.564,0.703,2.0,-5.459,1.0,0.269,0.437,0.00927,0.358,0.477,139.045
14,0.827,0.821,3.0,-5.864,1.0,0.0419,0.00748,0.0015,0.115,0.684,122.017
15,0.426,0.584,1.0,-5.293,1.0,0.296,0.0383,0.0,0.188,0.272,193.437
16,0.639,0.659,8.0,-7.273,1.0,0.215,0.241,8.33e-06,0.484,0.457,136.801
17,0.665,0.787,5.0,-5.73,1.0,0.151,0.308,0.0,0.219,0.699,167.349
18,0.75,0.458,1.0,-9.092,1.0,0.0803,0.226,3.25e-05,0.137,0.536,83.61
19,0.573,0.591,11.0,-6.715,0.0,0.331,0.0107,0.0,0.455,0.232,86.721
20,0.616,0.78,2.0,-6.062,1.0,0.0623,0.0322,0.0,0.173,0.471,110.005
21,0.47,0.792,0.0,-8.932,1.0,0.26,0.171,1.28e-06,0.313,0.214,170.085
22,0.768,0.807,2.0,-5.508,0.0,0.106,0.053,2.99e-06,0.214,0.575,112.001
23,0.723,0.633,9.0,-5.615,0.0,0.0571,0.319,0.0,0.122,0.503,138.071
24,0.576,0.697,10.0,-4.192,1.0,0.326,0.0286,1.15e-06,0.167,0.501,175.906
25,0.412,0.441,11.0,-11.523,0.0,0.291,0.0296,0.0726,0.306,0.174,185.571
26,0.655,0.488,1.0,-9.17,1.0,0.22,0.0825,1.16e-06,0.221,0.791,91.025
27,0.711,0.811,6.0,-7.503,0.0,0.219,0.0328,0.000517,0.0649,0.785,117.999
28,0.632,0.518,6.0,-6.126,1.0,0.0313,0.107,0.0,0.354,0.427,90.007
29,0.512,0.625,11.0,-6.764,1.0,0.0508,0.00308,0.000164,0.346,0.201,129.935
30,0.476,0.688,1.0,-7.799,1.0,0.245,0.0953,0.000645,0.438,0.352,140.553
31,0.875,0.551,6.0,-6.744,0.0,0.317,0.0488,0.00728,0.0537,0.861,146.092
32,0.648,0.593,10.0,-6.267,1.0,0.0506,0.0188,0.0,0.169,0.712,160.979
33,0.593,0.68,7.0,-5.556,1.0,0.335,0.00182,4.84e-05,0.31,0.483,84.547
34,0.303,0.384,6.0,-7.342,1.0,0.0339,0.381,5.14e-06,0.0661,0.261,63.345
35,0.609,0.407,6.0,-8.026,1.0,0.0808,0.345,0.0,0.19,0.459,99.982
36,0.557,0.428,5.0,-11.299,1.0,0.137,0.0673,0.0019,0.139,0.0996,103.009
37,0.508,0.72,11.0,-5.908,0.0,0.0628,0.272,0.0,0.0563,0.472,79.983
38,0.23,0.694,7.0,-6.828,0.0,0.109,0.0619,0.00191,0.112,0.26,172.751
39,0.426,0.584,1.0,-5.293,1.0,0.296,0.0383,0.0,0.188,0.272,193.437
40,0.318,0.838,6.0,-6.039,1.0,0.0793,0.0091,8.51e-05,0.451,0.0668,140.005
41,0.694,0.825,1.0,-5.986,1.0,0.111,0.0895,1.86e-05,0.0618,0.788,121.949
42,0.588,0.461,6.0,-8.686,0.0,0.161,0.237,1.54e-05,0.0913,0.659,200.053
43,0.336,0.424,5.0,-7.203,1.0,0.0353,0.503,0.0,0.273,0.159,82.149
44,0.326,0.528,9.0,-8.374,1.0,0.032,0.159,3.55e-05,0.0862,0.289,166.213
45,0.495,0.403,1.0,-9.731,1.0,0.301,0.5,0.0,0.7,0.555,140.415
46,0.514,0.763,10.0,-3.58,0.0,0.052,0.161,0.0,0.118,0.474,139.748
47,0.764,0.751,8.0,-3.74,1.0,0.0703,0.00554,0.000237,0.164,0.418,91.977
48,0.632,0.376,11.0,-14.209,0.0,0.408,0.743,0.0,0.101,0.537,126.913
49,0.436,0.534,1.0,-9.416,0.0,0.0773,0.103,0.00643,0.507,0.325,122.822
50,0.669,0.389,0.0,-11.547,1.0,0.0306,0.605,0.16,0.0905,0.649,130.015
51,0.546,0.878,7.0,-5.137,1.0,0.0525,0.0133,0.0,0.135,0.35,119.945
52,0.434,0.842,4.0,-4.468,1.0,0.038,0.00442,0.000142,0.308,0.838,169.935
53,0.639,0.76,0.0,-5.402,1.0,0.0317,0.00563,0.0,0.668,0.877,123.089
54,0.413,0.707,2.0,-8.65,1.0,0.0375,0.0232,2.84e-06,0.293,0.494,94.614
55,0.515,0.871,9.0,-4.113,1.0,0.0367,0.000585,0.0,0.0877,0.498,119.869
56,0.517,0.511,4.0,-8.191,1.0,0.0339,0.19,0.00827,0.14,0.179,115.022
57,0.627,0.623,0.0,-6.613,1.0,0.0267,0.0476,1.09e-06,0.149,0.454,147.983
58,0.518,0.775,6.0,-5.897,0.0,0.0303,9.93e-05,0.00013,0.336,0.422,107.026
59,0.519,0.731,0.0,-6.713,1.0,0.0257,0.0129,0.00129,0.394,0.424,154.061
60,0.623,0.691,0.0,-3.744,1.0,0.0261,0.0063,0.0,0.0751,0.488,114.06
61,0.657,0.806,4.0,-7.111,1.0,0.0621,0.0504,1.04e-05,0.14,0.632,109.945
62,0.617,0.536,3.0,-6.258,1.0,0.0232,0.115,1.95e-06,0.108,0.429,92.72
63,0.622,0.439,6.0,-6.898,1.0,0.033,0.227,8.78e-06,0.108,0.157,140.278
64,0.613,0.914,1.0,-4.152,1.0,0.0366,0.00113,5.14e-06,0.302,0.752,101.026
65,0.565,0.881,0.0,-4.475,1.0,0.0356,0.00109,2.17e-05,0.106,0.427,121.972
66,0.385,0.657,6.0,-6.393,0.0,0.0303,0.000849,0.00232,0.35,0.278,80.001
67,0.504,0.688,0.0,-7.713,1.0,0.0271,0.0641,6.63e-06,0.382,0.653,100.017
68,0.664,0.787,2.0,-5.387,0.0,0.0436,0.0094,0.00275,0.0482,0.848,160.003
69,0.463,0.738,4.0,-4.443,0.0,0.0444,0.0119,0.0,0.135,0.417,73.809
70,0.611,0.636,9.0,-7.487,1.0,0.0277,0.421,0.0,0.112,0.605,119.81
71,0.564,0.938,2.0,-5.91,1.0,0.0532,0.00475,3.95e-05,0.0884,0.954,145.08
72,0.593,0.652,4.0,-5.412,1.0,0.0267,0.0661,0.0,0.0981,0.615,108.87
73,0.525,0.335,5.0,-9.042,1.0,0.0297,0.131,0.000615,0.117,0.41,110.522
74,0.585,0.309,9.0,-12.976,1.0,0.0386,0.855,0.123,0.0882,0.146,118.862
75,0.604,0.45,3.0,-6.984,1.0,0.0264,0.354,0.000169,0.108,0.424,109.911
76,0.653,0.542,9.0,-7.542,1.0,0.0279,0.00567,0.00193,0.102,0.631,140.012
77,0.639,0.76,0.0,-5.402,1.0,0.0317,0.00563,0.0,0.668,0.877,123.089
78,0.752,0.341,2.0,-9.315,1.0,0.0333,0.782,1.31e-05,0.0935,0.658,124.063
79,0.479,0.221,2.0,-12.473,1.0,0.0329,0.922,1.4e-06,0.0529,0.242,125.734
80,0.349,0.844,9.0,-5.419,1.0,0.0398,4.12e-05,3.63e-06,0.301,0.332,118.653
81,0.461,0.384,2.0,-9.005,1.0,0.0306,0.704,1.24e-05,0.123,0.424,201.705
82,0.527,0.862,7.0,-5.808,1.0,0.0342,0.0529,0.0,0.317,0.705,98.989
83,0.701,0.569,0.0,-7.74,1.0,0.0303,0.673,0.0199,0.363,0.815,134.867
84,0.253,0.808,1.0,-7.372,1.0,0.047,0.0805,0.796,0.111,0.436,100.009
85,0.687,0.578,9.0,-6.686,1.0,0.0239,0.0106,3.78e-05,0.192,0.751,97.0
86,0.587,0.795,4.0,-6.138,0.0,0.036,0.0773,1.75e-06,0.174,0.884,119.998
87,0.672,0.755,9.0,-6.691,1.0,0.0304,0.00546,0.000103,0.107,0.561,117.92
88,0.681,0.79,7.0,-6.22,1.0,0.0285,0.0197,0.018,0.174,0.748,128.197
89,0.578,0.554,0.0,-8.469,1.0,0.0294,0.134,8.07e-05,0.0654,0.324,121.022
